ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,eventFlagId,distViewEventFlagId,iconId,bgmPlaceType,isAreaIcon,isOverrideDistViewMarkPos,isEnableNoText,pad3,areaNo_forDistViewMark,gridXNo_forDistViewMark,gridZNo_forDistViewMark,clearedEventFlagId,dispMask00,dispMask01,pad2_0,pad2,distViewIconId,angle,areaNo,gridXNo,gridZNo,pad,posX,posY,posZ,textId1,textEnableFlagId1,textDisableFlagId1,textId2,textEnableFlagId2,textDisableFlagId2,textId3,textEnableFlagId3,textDisableFlagId3,textId4,textEnableFlagId4,textDisableFlagId4,textId5,textEnableFlagId5,textDisableFlagId5,textId6,textEnableFlagId6,textDisableFlagId6,textId7,textEnableFlagId7,textDisableFlagId7,textId8,textEnableFlagId8,textDisableFlagId8,textType1,textType2,textType3,textType4,textType5,textType6,textType7,textType8,distViewId,posX_forDistViewMark,posY_forDistViewMark,posZ_forDistViewMark,distViewId1,distViewId2,distViewId3,dispMinZoomStep,selectMinZoomStep,entryFEType,pad4,unkC0,unkC4,unkC8,unkCC,unkD0,unkD4,unkD8,unkDC,unkE0,unkE4,unkE8,unkEC,unkF0,unkF4,unkF8,unkFC,
1,- Graces to Unlock -,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[Stormveil Castle] Godrick the Grafted,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-232.76,74.11,345.13,100000,10000800,71000,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,[Stormhill] Margit the Fell Omen,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-28.55,-1.76,-18.58,100001,10000850,71001,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,[Stormhill] Castleward Tunnel,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,36.35,-11.28,5.36,100002,0,71002,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[Stormveil Castle] Gateside Chamber,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-122.51,30.2,11.88,100003,0,71003,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,[Stormveil Castle] Stormveil Cliffside,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-200.67,30.44,-16.52,100004,0,71004,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,[Stormveil Castle] Rampart Tower,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-262.26,98.45,112.96,100005,0,71005,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,[Stormveil Castle] Liftside Chamber,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-273.12,71.56,241.41,100006,0,71006,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[Stormveil Castle] Secluded Cell,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-189.96,81.87,313.47,100007,0,71007,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,[Stormveil Castle] Stormveil Main Gate,1,0,[0|0|0],0,0,150,999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,-96.08,21.41,20.28,100008,0,71008,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,[0|150|0|0|0|0|0|0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
